"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1","TRUE","5.30608456829281e-10","6029","3794","2101","0.553769109119663","0.348482335379001","GO:0044238","GO:BP","primary metabolic process","11884","10236","GO:0008152"
"query_1","TRUE","1.91464073565826e-09","511","3794","235","0.0619399051133369","0.459882583170254","GO:0016071","GO:BP","mRNA metabolic process","11884","4855","GO:0016070"
"query_1","TRUE","3.4559734435292e-09","213","3794","115","0.0303110173958882","0.539906103286385","GO:0051169","GO:BP","nuclear transport","11884","12661","GO:0046907"
"query_1","TRUE","3.4559734435292e-09","213","3794","115","0.0303110173958882","0.539906103286385","GO:0006913","GO:BP","nucleocytoplasmic transport","11884","2431","GO:0051169"
"query_1","TRUE","5.56803435757836e-09","2847","3794","1053","0.277543489720611","0.36986301369863","GO:0034654","GO:BP","nucleobase-containing compound biosynthetic process","11884","8134","c(""GO:0006139"", ""GO:0009058"")"
"query_1","TRUE","6.58737807487e-09","312","3794","155","0.0408539799683711","0.496794871794872","GO:0044770","GO:BP","cell cycle phase transition","11884","10395","GO:0022402"
"query_1","TRUE","8.17916260457059e-09","419","3794","197","0.0519240906694781","0.470167064439141","GO:0006281","GO:BP","DNA repair","11884","1988","c(""GO:0006259"", ""GO:0006974"")"
"query_1","TRUE","9.88080814426072e-09","197","3794","107","0.0282024248813917","0.543147208121827","GO:1901990","GO:BP","regulation of mitotic cell cycle phase transition","11884","20447","c(""GO:0007346"", ""GO:0044772"", ""GO:1901987"")"
"query_1","TRUE","1.24489420684731e-08","260","3794","133","0.0350553505535055","0.511538461538461","GO:1901987","GO:BP","regulation of cell cycle phase transition","11884","20444","c(""GO:0010564"", ""GO:0044770"")"
"query_1","TRUE","2.46408002736626e-08","245","3794","126","0.033210332103321","0.514285714285714","GO:0044772","GO:BP","mitotic cell cycle phase transition","11884","10397","c(""GO:0044770"", ""GO:1903047"")"
"query_1","TRUE","3.04476753104994e-08","142","3794","82","0.0216130732735899","0.577464788732394","GO:0007051","GO:BP","spindle organization","11884","2517","c(""GO:0000226"", ""GO:0022402"")"
"query_1","TRUE","4.06098709001694e-08","3924","3794","1403","0.369794412229837","0.357543323139653","GO:0071840","GO:BP","cellular component organization or biogenesis","11884","15796","GO:0009987"
"query_1","TRUE","7.24640252920408e-08","224","3794","116","0.0305745914602003","0.517857142857143","GO:0006310","GO:BP","DNA recombination","11884","2007","GO:0006259"
"query_1","TRUE","8.42216899449476e-08","281","3794","139","0.036636794939378","0.494661921708185","GO:0140694","GO:BP","membraneless organelle assembly","11884","18615","GO:0070925"
"query_1","TRUE","1.57187244489442e-07","132","3794","76","0.0200316288877174","0.575757575757576","GO:0051321","GO:BP","meiotic cell cycle","11884","12746","c(""GO:0007049"", ""GO:0019953"", ""GO:0022414"")"
"query_1","TRUE","2.10581288648032e-07","203","3794","106","0.0279388508170796","0.522167487684729","GO:0045333","GO:BP","cellular respiration","11884","10591","GO:0015980"
"query_1","TRUE","2.91843052557406e-07","180","3794","96","0.0253031101739589","0.533333333333333","GO:0009060","GO:BP","aerobic respiration","11884","3096","GO:0045333"
"query_1","TRUE","2.92012001587193e-07","221","3794","113","0.0297838692672641","0.51131221719457","GO:0006302","GO:BP","double-strand break repair","11884","2001","GO:0006281"
"query_1","TRUE","3.4385913703459e-07","603","3794","260","0.0685292567211386","0.431177446102819","GO:0051726","GO:BP","regulation of cell cycle","11884","12985","c(""GO:0007049"", ""GO:0050794"")"
"query_1","TRUE","5.9997039720242e-07","142","3794","79","0.0208223510806537","0.556338028169014","GO:0000725","GO:BP","recombinational repair","11884","201","c(""GO:0006281"", ""GO:0006310"")"
"query_1","TRUE","7.92634095054046e-07","284","3794","137","0.0361096468107538","0.482394366197183","GO:0007346","GO:BP","regulation of mitotic cell cycle","11884","2719","c(""GO:0000278"", ""GO:0051726"")"
"query_1","TRUE","7.96121532115103e-07","624","3794","266","0.0701107011070111","0.426282051282051","GO:0006974","GO:BP","DNA damage response","11884","2470","GO:0033554"
"query_1","TRUE","8.34482830156105e-07","2145","3794","798","0.210332103321033","0.372027972027972","GO:0006996","GO:BP","organelle organization","11884","2478","GO:0016043"
"query_1","TRUE","8.48238591093909e-07","437","3794","196","0.0516605166051661","0.448512585812357","GO:0000226","GO:BP","microtubule cytoskeleton organization","11884","60","c(""GO:0007010"", ""GO:0007017"")"
"query_1","TRUE","1.07394609057383e-06","986","3794","396","0.10437532946758","0.401622718052738","GO:0043933","GO:BP","protein-containing complex organization","11884","10169","GO:0016043"
"query_1","TRUE","1.3546485379937e-06","2676","3794","975","0.25698471270427","0.364349775784753","GO:0141187","GO:BP","nucleic acid biosynthetic process","11884","18825","c(""GO:0009059"", ""GO:0034654"", ""GO:0090304"")"
"query_1","TRUE","1.62695271060848e-06","117","3794","67","0.0176594623089088","0.572649572649573","GO:1903046","GO:BP","meiotic cell cycle process","11884","21149","c(""GO:0022402"", ""GO:0022414"", ""GO:0051321"")"
