"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1","TRUE","7.02950312406939e-05","2145","3564","735","0.206228956228956","0.342657342657343","GO:0006996","GO:BP","organelle organization","11884","2478","GO:0016043"
"query_1","TRUE","8.82770418082745e-05","47","3564","30","0.00841750841750842","0.638297872340426","GO:0045132","GO:BP","meiotic chromosome segregation","11884","10533","c(""GO:0098813"", ""GO:0140013"", ""GO:1903046"")"
"query_1","TRUE","9.66710760574304e-05","56","3564","34","0.00953984287317621","0.607142857142857","GO:0032543","GO:BP","mitochondrial translation","11884","7139","c(""GO:0006412"", ""GO:0140053"")"
"query_1","TRUE","0.000107344460924821","213","3564","96","0.0269360269360269","0.450704225352113","GO:0006417","GO:BP","regulation of translation","11884","2066","c(""GO:0006412"", ""GO:0010608"", ""GO:0051246"")"
"query_1","TRUE","0.000123800181536586","61","3564","36","0.0101010101010101","0.590163934426229","GO:1901992","GO:BP","positive regulation of mitotic cell cycle phase transition","11884","20449","c(""GO:0044772"", ""GO:0045931"", ""GO:1901989"", ""GO:1901990"")"
"query_1","TRUE","0.000127097330581454","23","3564","18","0.00505050505050505","0.782608695652174","GO:0051383","GO:BP","kinetochore organization","11884","12776","GO:0051276"
"query_1","TRUE","0.000127097330581454","23","3564","18","0.00505050505050505","0.782608695652174","GO:0006099","GO:BP","tricarboxylic acid cycle","11884","1858","c(""GO:0009060"", ""GO:0044238"")"
"query_1","TRUE","0.000139557928186694","117","3564","59","0.0165544332210999","0.504273504273504","GO:0009165","GO:BP","nucleotide biosynthetic process","11884","3179","c(""GO:0009117"", ""GO:1901293"")"
"query_1","TRUE","0.000147682670970738","66","3564","38","0.010662177328844","0.575757575757576","GO:0007088","GO:BP","regulation of mitotic nuclear division","11884","2539","c(""GO:0007346"", ""GO:0010564"", ""GO:0051783"", ""GO:0140014"")"
"query_1","TRUE","0.000155987925941649","275","3564","118","0.0331088664421998","0.429090909090909","GO:0051052","GO:BP","regulation of DNA metabolic process","11884","12591","c(""GO:0006259"", ""GO:0019219"", ""GO:0060255"")"
