"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSBTAG00000000005",365.873277410066,0.0207699633596493,0.210145869944305,0.0988359341306779,0.921268536852844,0.946070479569256,"GRK3"
"ENSBTAG00000000009",23.0753535897067,4.31066364895883,1.05791136632594,4.07469263132082,4.60751614006626e-05,0.000186696080823096,"FOXF1"
"ENSBTAG00000000010",576.174571472091,0.765572729073032,0.135266186410399,5.65974948647015,1.51594119620452e-08,1.19254040768089e-07,"UBL7"
"ENSBTAG00000000012",233.845631464289,0.835927936828522,0.248326891247991,3.36624009034014,0.000762003538404649,0.00236913486232384,"TTC33"
"ENSBTAG00000000013",1743.39607231361,0.232343239242892,0.159632939193507,1.45548431556,0.145535229245089,0.229662267772589,"PRKAA1"
"ENSBTAG00000000014",1100.20559702804,-0.526711632409772,0.116326925696164,-4.52785654961344,5.95850076582162e-06,2.89799809974052e-05,"TXN2"
"ENSBTAG00000000015",93.8859895363614,-1.74387199920713,0.306567918398787,-5.68837081295207,1.28257083781824e-08,1.02104283721898e-07,"FOXRED2"
"ENSBTAG00000000019",5867.07325532275,0.873994826624464,0.32365716245685,2.70037227042978,0.00692619269249804,0.0169355352751831,"SERINC1"
"ENSBTAG00000000021",779.841938343713,0.471114978981126,0.128401273734374,3.66908337650707,0.000243421687295146,0.000846911607547122,"WASHC3"
"ENSBTAG00000000022",300.961308798209,-1.08833722601319,0.237225906278127,-4.58776717555128,4.48011875997015e-06,2.22350548205122e-05,"NUP37"
"ENSBTAG00000000023",1947.38548779913,0.44471700578725,0.110512046584487,4.02414957945116,5.718156655983e-05,0.000227279881613963,"RNF2"
"ENSBTAG00000000024",2640.22040045445,0.244472493601304,0.250075029044884,0.977596581853941,0.328273888586757,0.441498308190925,"DYM"
"ENSBTAG00000000025",5523.24810922288,0.175082922759607,0.111827212312142,1.56565579289324,0.117429220785184,0.193407427815515,"RAB6A"
"ENSBTAG00000000026",382.172735414321,-0.0785971252324293,0.194588002310585,-0.403915577009619,0.68627480126135,0.76973488857829,"VPS33B"
"ENSBTAG00000000030",222.629303529338,-1.90273295676021,0.318331784436005,-5.97720067485979,2.27004500764804e-09,2.04871967595169e-08,"RDM1"
"ENSBTAG00000000031",76.4443673074535,1.4472176948932,0.416436212200206,3.47524459327623,0.000510387752778282,0.00165489362264473,"TRPV4"
"ENSBTAG00000000037",465.091859154883,-0.127146198874961,0.125555778942321,-1.01266703887338,0.311219226819979,0.423923539869447,"CWC27"
"ENSBTAG00000000039",172.878851866022,0.226494342186101,0.224091799911822,1.0107212413628,0.312149867579514,0.424927679575089,"SIRT7"
"ENSBTAG00000000040",374.678599739942,0.70571812660506,0.219695779787292,3.2122516294502,0.00131698968857107,0.00386076911954925,"MAFG"
"ENSBTAG00000000042",2604.49160111742,0.617037654630466,0.213116658701371,2.8953046579765,0.00378790704746222,0.00989778857228022,"PYCR1"
"ENSBTAG00000000046",198.850491822881,0.0883791738984296,0.420299899708332,0.210276457262446,0.833451908898799,0.882223658765613,"SURF2"
"ENSBTAG00000000049",207.836634686576,-0.473287782056553,0.261188551076566,-1.81205408929969,0.0699778392990502,0.124988003818052,"CCDC77"
"ENSBTAG00000000050",451.79565236995,-0.54816735283824,0.198930935174281,-2.75556615846599,0.00585906540805777,0.0145709198034543,"PSMG3"
"ENSBTAG00000000052",263.988266140739,0.906054180559543,0.490686658753075,1.84650257837047,0.0648192653467428,0.117638068746295,"PKNOX2"
"ENSBTAG00000000054",220.634883163249,0.712901300100227,0.238105571829609,2.99405551336861,0.00275295850503022,0.00745738126679073,"SNAPC4"
"ENSBTAG00000000056",658.45237440889,-0.203455833716735,0.185885603041275,-1.09452174018855,0.273726217857328,0.382350616956149,"STRADA"
"ENSBTAG00000000057",1719.98274420107,1.74652833280706,0.21943318572349,7.95927164366046,1.73054936259783e-15,3.90177075931433e-14,"THBS3"
"ENSBTAG00000000061",3616.759919608,0.266484436156152,0.178652914752632,1.49163217697922,0.135795598057268,0.217748948573923,"PCDH7"
"ENSBTAG00000000062",83.408648353205,-0.810937780422799,0.745142118246646,-1.08829948081713,0.276462919675039,0.385235716125928,"RASL12"
"ENSBTAG00000000064",886.330750166733,-2.39845517644672,0.19478515002878,-12.3133369052638,7.67816751731215e-35,1.38492204390833e-32,"FEN1"
"ENSBTAG00000000065",475.811951862388,0.339229891106693,0.176239729323021,1.92482076776761,0.0542517849163265,0.101029946364829,"CRLS1"
"ENSBTAG00000000067",61.0931097501109,-0.863864611339714,0.405271647000092,-2.1315693257454,0.0330422676606779,0.0660636059356641,"SDF2L1"
"ENSBTAG00000000072",1008.46375025884,-0.235425194938163,0.154391118687014,-1.52486229091599,0.127293449118096,0.206581887990371,"TFB2M"
