"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene_name"
"ENSBTAG00000000005",365.873277410066,0.00703257889419377,0.209839095420196,0.0335141498780828,0.973264582199887,0.980408493544266,"GRK3"
"ENSBTAG00000000009",23.0753535897067,4.53279370643624,0.982792449297852,4.61215764292314,3.98510570564845e-06,1.80862489717891e-05,"FOXF1"
"ENSBTAG00000000010",576.174571472091,0.809882711068588,0.13736310965711,5.89592586459522,3.72586238608313e-09,2.72080615885978e-08,"UBL7"
"ENSBTAG00000000012",233.845631464289,-0.0431895256432886,0.250479451833068,-0.172427420002788,0.86310151695524,0.899654895820759,"TTC33"
"ENSBTAG00000000013",1743.39607231361,0.37750713798129,0.159628043799278,2.36491739794783,0.0180340927260736,0.0371025671760478,"PRKAA1"
"ENSBTAG00000000014",1100.20559702804,-0.799092904536437,0.117549766256234,-6.79791147176406,1.06146643948446e-11,1.14645639563138e-10,"TXN2"
"ENSBTAG00000000015",93.8859895363614,-0.874718391513193,0.292697705531456,-2.98847027148693,0.00280377775155896,0.00706173905668929,"FOXRED2"
"ENSBTAG00000000019",5867.07325532275,0.881794887442609,0.323728035552317,2.72387557023959,0.00645208098997883,0.0147847503773998,"SERINC1"
"ENSBTAG00000000021",779.841938343713,0.710722427938278,0.129961226196703,5.46872670209009,4.53280038661523e-08,2.83322463769326e-07,"WASHC3"
"ENSBTAG00000000022",300.961308798209,-0.901954401413432,0.240867136346737,-3.74461379453209,0.00018067147651742,0.00060204752243572,"NUP37"
"ENSBTAG00000000023",1947.38548779913,0.479119371060564,0.110507096412491,4.33564347100524,1.45334343982149e-05,5.99866435802095e-05,"RNF2"
"ENSBTAG00000000024",2640.22040045445,0.141765320962495,0.250208160664417,0.566589517248531,0.570993098659284,0.667377985499502,"DYM"
"ENSBTAG00000000025",5523.24810922288,0.147361106615042,0.111954003589014,1.31626473275586,0.18808520353128,0.275334930989674,"RAB6A"
"ENSBTAG00000000026",382.172735414321,0.0440456250735754,0.196058757561984,0.224655228979764,0.822247496371421,0.869270442031781,"VPS33B"
"ENSBTAG00000000030",222.629303529338,-1.84619690842368,0.32255836597193,-5.72360571972991,1.04286620904739e-08,7.09823652583955e-08,"RDM1"
"ENSBTAG00000000031",76.4443673074535,1.8240794025461,0.416919201169933,4.37513886965984,1.21355195648632e-05,5.08539893879729e-05,"TRPV4"
"ENSBTAG00000000037",465.091859154883,-0.18641421812803,0.126917034675883,-1.46878800473151,0.141890298588821,0.218091799815987,"CWC27"
"ENSBTAG00000000039",172.878851866022,0.354279999108374,0.229985448854098,1.54044527979302,0.123451851424121,0.19415833035388,"SIRT7"
"ENSBTAG00000000040",374.678599739942,1.05258568690004,0.220920223028613,4.76455107852986,1.89274568072597e-06,9.17734522459526e-06,"MAFG"
"ENSBTAG00000000042",2604.49160111742,0.509516240104325,0.213242233114189,2.38937771689665,0.0168769410910076,0.0349382289252438,"PYCR1"
"ENSBTAG00000000046",198.850491822881,-1.00817596070334,0.425905756779786,-2.36713391320657,0.0179264451802829,0.03689913544934,"SURF2"
"ENSBTAG00000000049",207.836634686576,-0.574692918735965,0.264550294849211,-2.17233898402392,0.029830103610485,0.0577041348530693,"CCDC77"
